State,1939,1949,1959,1969,1979,1989,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Oklahoma,1014.0,2736.0,4659,7257.0,13500.0,23944.0,25339.0,25918.0,27009.0,27971.0,28909.0,31894.0,32302.0,32783.0,31298.0,34434.0,35412.0,34854.0,35061.0,37141.0,38772.0,43551.0,45702.0,44143.0,49039.0,44156.0,44128.0,44277.0,44628.0,44921.0,45245.0,45678.0,52412.0,54038.0,54256.0
Oregon,1333.0,3323.0,5535,9200.0,16996.0,32100.0,34100.0,35880.0,37590.0,38700.0,39650.0,42420.0,43700.0,43142.0,40919.0,42333.0,43886.0,47600.0,49169.0,50790.0,48981.0,51811.0,52950.0,55224.0,56387.0,57348.0,58758.0,58597.0,59811.0,60064.0,61631.0,63143.0,64385.0,67685.0,68671.0
Pennsylvania,1640.0,3006.0,5308,8899.0,17060.0,34110.0,38715.0,41215.0,42411.0,44489.0,46916.0,48178.0,48624.0,49566.0,48321.0,49500.0,50599.0,51800.0,51835.0,52700.0,54027.0,55833.0,56906.0,58124.0,60536.0,62215.0,63521.0,64072.0,64717.0,64991.0,65863.0,67398.0,68141.0,70258.0,71281.0
Rhode Island,1809.0,3294.0,5499,9030.0,18425.0,36704.0,36417.0,37933.0,39261.0,40729.0,42160.0,44188.0,45504.0,51689.0,47041.0,48474.0,49758.0,51076.0,52261.0,53473.0,54730.0,57168.0,58491.0,59636.0,60923.0,62186.0,63474.0,64696.0,65918.0,66197.0,66477.0,66758.0,67040.0,67323.0,75966.0
South Carolina,743.0,1891.0,3450,7069.0,13670.0,28453.0,28068.0,29224.0,29566.0,30341.0,31568.0,34421.0,35358.0,36217.0,36081.0,37327.0,38943.0,41279.0,41162.0,42207.0,43242.0,45758.0,47704.0,48417.0,49434.0,48176.0,47924.0,48425.0,48709.0,48542.0,48598.0,51027.0,50395.0,51485.0,53361.0
South Dakota,807.0,2064.0,3725,7200.0,13010.0,22120.0,23291.0,24289.0,25259.0,26017.0,26346.0,27767.0,28880.0,29387.0,29072.0,30265.0,31295.0,32416.0,33236.0,34040.0,34709.0,36674.0,38017.0,35136.0,35201.0,39850.0,39580.0,40023.0,40661.0,42025.0,42668.0,47944.0,48786.0,49220.0,49993.0
Tennessee,862.0,2302.0,3929,7187.0,14193.0,27949.0,28621.0,28960.0,30514.0,31270.0,33451.0,35555.0,36700.0,37491.0,36328.0,37074.0,38554.0,39677.0,40318.0,41527.0,42537.0,45030.0,46278.0,46290.0,47043.0,46613.0,48289.0,48049.0,48503.0,48708.0,48456.0,50900.0,51714.0,51862.0,52380.0
Texas,1079.0,3122.0,4708,7598.0,14729.0,28549.0,29041.0,29935.0,30519.0,31310.0,32000.0,34937.0,36112.0,36999.0,37567.0,38614.0,39293.0,40001.0,40476.0,41009.0,41744.0,46179.0,46179.0,47157.0,48261.0,49017.0,48110.0,49270.0,50576.0,51758.0,52575.0,53167.0,54155.0,57091.0,57641.0
Utah,1394.0,3103.0,5096,8049.0,17403.0,24591.0,26339.0,27239.0,27706.0,28676.0,30452.0,33031.0,33265.0,33982.0,34946.0,36049.0,37414.0,38413.0,38976.0,39965.0,40316.0,41615.0,42335.0,43068.0,46571.0,48159.0,49393.0,50659.0,45848.0,46042.0,47244.0,47604.0,50342.0,52819.0,56918.0
Vermont,981.0,2348.0,4466,8225.0,13300.0,29012.0,33646.0,34824.0,34517.0,36311.0,36295.0,36053.0,36299.0,37081.0,37714.0,38651.0,38802.0,41603.0,42007.0,44535.0,46622.0,46593.0,47697.0,49053.0,50141.0,51306.0,52526.0,53656.0,57642.0,58901.0,60187.0,58527.0,61027.0,61108.0,61547.0
Virginia,899.0,2328.0,4312,8364.0,14655.0,31656.0,31764.0,33212.0,33009.0,33753.0,34687.0,36426.0,37458.0,38265.0,38123.0,40197.0,41262.0,43152.0,43655.0,44763.0,43823.0,46796.0,48554.0,49999.0,51559.0,49560.0,49869.0,49233.0,50620.0,50834.0,51049.0,51265.0,52466.0,53933.0,59267.0
Washington,1706.0,3487.0,5643,9792.0,19735.0,31828.0,34823.0,35759.0,35863.0,36120.0,38025.0,39594.0,40629.0,40596.0,41013.0,42101.0,43483.0,44949.0,45434.0,45712.0,46326.0,49884.0,51970.0,53653.0,53796.0,54193.0,53571.0,52236.0,53714.0,52539.0,54147.0,55175.0,72965.0,72965.0,79529.0
West Virginia,1170.0,2425.0,3952,7954.0,14395.0,23842.0,27366.0,30301.0,30549.0,31923.0,32155.0,34345.0,34564.0,35451.0,35008.0,35764.0,36751.0,38508.0,38461.0,38360.0,38284.0,42529.0,44625.0,45959.0,47253.0,45320.0,46405.0,45583.0,45647.0,45977.0,45701.0,45642.0,47681.0,50238.0,50261.0
